Reference,Analog/Digital,Connection,Eng. Unit,Module,Device,I/O Function,Cabinet Mapping,P&ID,Module Reference,Low Range,High Range
1290-PT0002_PI,AI,0-10 V,bar,Air compression,Pressure Device,Pressure reading,AI13-15,P&ID-024,1-001,0,12
1290-TT0001_TI,AI,0-10 V,Celcius,Air compression,Temperature Device,Temperature reading,AI13-16,P&ID-011,1-001,24,97
1290-VC30001_XOC,DO,Relay,N/A,Material batching,Three-Way Valve,Open command,DO14-01,P&ID-043,1-002,N/A,N/A
1290-VC30001_XCC,DO,24 VDC,N/A,Material batching,Three-Way Valve,Close command,DO14-02,P&ID-043,1-002,N/A,N/A
1290-VC30001_XIC,DO,Solid State,N/A,Material batching,Three-Way Valve,Mid position,DO14-03,P&ID-043,1-002,N/A,N/A
1290-VC30001_XOF,DI,Dry Contact,N/A,Material batching,Three-Way Valve,Open status,DI14-04,P&ID-043,1-002,N/A,N/A
1290-VC30001_XCF,DI,Dry Contact,N/A,Material batching,Three-Way Valve,Closed status,DI14-05,P&ID-043,1-002,N/A,N/A
1290-VC30001_XIF,DI,Dry Contact,N/A,Material batching,Three-Way Valve,Mid status,DI14-06,P&ID-043,1-002,N/A,N/A
1290-VC30001_XMV,DI,Pulse,N/A,Material batching,Three-Way Valve,Moving status,DI14-07,P&ID-043,1-002,N/A,N/A
1290-VC30001_XFT,DI,24 VDC,N/A,Material batching,Three-Way Valve,Fault status,DI14-08,P&ID-043,1-002,N/A,N/A
1290-VC30001_POS,AI,4-20 mA,N/A,Material batching,Three-Way Valve,Position value,AI14-09,P&ID-043,1-002,0,100
1290-VC30001_XRS,DO,24 VDC,N/A,Material batching,Three-Way Valve,Reset fault,DO14-10,P&ID-043,1-002,N/A,N/A
1290-VC30002_XOC,DO,24 VDC,N/A,Material batching,Three-Way Valve,Open command,DO14-11,P&ID-025,1-002,N/A,N/A
1290-VC30002_XCC,DO,Solid State,N/A,Material batching,Three-Way Valve,Close command,DO14-12,P&ID-025,1-002,N/A,N/A
1290-VC30002_XIC,DO,Solid State,N/A,Material batching,Three-Way Valve,Mid position,DO14-13,P&ID-025,1-002,N/A,N/A
1290-VC30002_XOF,DI,Dry Contact,N/A,Material batching,Three-Way Valve,Open status,DI14-14,P&ID-025,1-002,N/A,N/A
1290-VC30002_XCF,DI,24 VDC,N/A,Material batching,Three-Way Valve,Closed status,DI14-15,P&ID-025,1-002,N/A,N/A
1290-VC30002_XIF,DI,Pulse,N/A,Material batching,Three-Way Valve,Mid status,DI14-16,P&ID-025,1-002,N/A,N/A
1290-VC30002_XMV,DI,Pulse,N/A,Material batching,Three-Way Valve,Moving status,DI15-01,P&ID-025,1-002,N/A,N/A
1290-VC30002_XFT,DI,24 VDC,N/A,Material batching,Three-Way Valve,Fault status,DI15-02,P&ID-025,1-002,N/A,N/A
1290-VC30002_POS,AI,RTD,Celcius,Material batching,Three-Way Valve,Position value,AI15-03,P&ID-025,1-002,0,100
1290-VC30002_XRS,DO,24 VDC,N/A,Material batching,Three-Way Valve,Reset fault,DO15-04,P&ID-025,1-002,N/A,N/A
1290-HTR0001_XST,DO,Relay,N/A,Process heating,Heater Simple,Start heater,DO15-05,P&ID-029,1-003,N/A,N/A
1290-HTR0001_XRN,DI,Dry Contact,N/A,Process heating,Heater Simple,Running status,DI15-06,P&ID-029,1-003,N/A,N/A
1290-TT0002_TI,AI,0-10 V,Celcius,Process heating,Temperature Device,Temperature reading,AI15-07,P&ID-023,1-003,5,146
1290-TT0003_TI,AI,0-10 V,Celcius,Process heating,Temperature Device,Temperature reading,AI15-08,P&ID-033,1-003,-11,105
1290-HTR0002_XST,DO,Relay,N/A,Process heating,Heater Simple,Start heater,DO15-09,P&ID-045,1-004,N/A,N/A
1290-HTR0002_XRN,DI,Pulse,N/A,Process heating,Heater Simple,Running status,DI15-10,P&ID-045,1-004,N/A,N/A
1290-TT0004_TI,AI,4-20 mA,Celcius,Process heating,Temperature Device,Temperature reading,AI15-11,P&ID-048,1-004,17,84
1290-TT0005_TI,AI,0-10 V,Celcius,Process heating,Temperature Device,Temperature reading,AI15-12,P&ID-019,1-004,-12,130
1290-FT0001_FI,AI,4-20 mA,m3/h,Process heating,Flow Device,Flow reading,AI15-13,P&ID-027,1-004,0,168
1290-CA0002_XST,DO,Solid State,N/A,Air compression,Compressor Unit,Start compressor,DO15-14,P&ID-049,1-005,N/A,N/A
1290-CA0002_XSP,DO,24 VDC,N/A,Air compression,Compressor Unit,Stop compressor,DO15-15,P&ID-049,1-005,N/A,N/A
1290-CA0002_XRN,DI,24 VDC,N/A,Air compression,Compressor Unit,Running status,DI15-16,P&ID-049,1-005,N/A,N/A
1290-CA0002_XPFA,DI,24 VDC,N/A,Air compression,Compressor Unit,Power fault,DI16-01,P&ID-049,1-005,N/A,N/A
1290-PT0003_PI,AI,RTD,Celcius,Air compression,Pressure Device,Pressure reading,AI16-02,P&ID-040,1-005,0,16
1290-PT0004_PI,AI,0-10 V,bar,Air compression,Pressure Device,Pressure reading,AI16-03,P&ID-023,1-005,0,8
1290-TT0006_TI,AI,0-10 V,Celcius,Air compression,Temperature Device,Temperature reading,AI16-04,P&ID-002,1-005,-3,89
1290-PM0001_XST,DO,Relay,N/A,Pumping system,Pump Motor Advanced,Start motor,DO16-05,P&ID-014,1-006,N/A,N/A
1290-PM0001_XSP,DO,24 VDC,N/A,Pumping system,Pump Motor Advanced,Stop motor,DO16-06,P&ID-014,1-006,N/A,N/A
1290-PM0001_XRC,DO,Relay,N/A,Pumping system,Pump Motor Advanced,Remote mode,DO16-07,P&ID-014,1-006,N/A,N/A
1290-PM0001_XRN,DI,24 VDC,N/A,Pumping system,Pump Motor Advanced,Running status,DI16-08,P&ID-014,1-006,N/A,N/A
1290-PM0001_XHTA,DI,Dry Contact,N/A,Pumping system,Pump Motor Advanced,High temp alarm,DI16-09,P&ID-014,1-006,N/A,N/A
1290-PM0001_XOLA,DI,Dry Contact,N/A,Pumping system,Pump Motor Advanced,Overload alarm,DI16-10,P&ID-014,1-006,N/A,N/A
1290-FT0002_FI,AI,RTD,Celcius,Pumping system,Flow Device,Flow reading,AI16-11,P&ID-001,1-006,0,355
1290-PT0005_PI,AI,0-10 V,bar,Pumping system,Pressure Device,Pressure reading,AI16-12,P&ID-005,1-006,0,6
1290-VC0001_XOC,DO,Solid State,N/A,Pumping system,Valve Basic,Open valve,DO16-13,P&ID-035,1-006,N/A,N/A
1290-VC0001_XCC,DO,Relay,N/A,Pumping system,Valve Basic,Close valve,DO16-14,P&ID-035,1-006,N/A,N/A
1290-VC0001_XOF,DI,24 VDC,N/A,Pumping system,Valve Basic,Open status,DI16-15,P&ID-035,1-006,N/A,N/A
1290-VC0001_XCF,DI,Pulse,N/A,Pumping system,Valve Basic,Closed status,DI16-16,P&ID-035,1-006,N/A,N/A
1290-MX0001_XST,DO,Solid State,N/A,Material mixing,Mixer Full,Start mixer,DO17-01,P&ID-026,1-007,N/A,N/A
1290-MX0001_XSP,DO,Relay,N/A,Material mixing,Mixer Full,Stop mixer,DO17-02,P&ID-026,1-007,N/A,N/A
1290-MX0001_XRN,DI,Pulse,N/A,Material mixing,Mixer Full,Running status,DI17-03,P&ID-026,1-007,N/A,N/A
1290-MX0001_XOLA,DI,Pulse,N/A,Material mixing,Mixer Full,Overload alarm,DI17-04,P&ID-026,1-007,N/A,N/A
1290-MX0001_SC,AO,Solid State,N/A,Material mixing,Mixer Full,Speed control,AO17-05,P&ID-026,1-007,0,100
1290-MX0001_TI,AI,RTD,Celcius,Material mixing,Mixer Full,Temp feedback,AI17-06,P&ID-026,1-007,0,100
1290-TT0007_TI,AI,4-20 mA,Celcius,Material mixing,Temperature Device,Temperature reading,AI17-07,P&ID-026,1-007,-7,139
1290-LT0001_LI,AI,0-10 V,N/A,Material mixing,Level Device,Tank level,AI17-08,P&ID-024,1-007,0,100
1290-VC0002_XOC,DO,24 VDC,N/A,Material mixing,Valve Basic,Open valve,DO17-09,P&ID-047,1-007,N/A,N/A
1290-VC0002_XCC,DO,Relay,N/A,Material mixing,Valve Basic,Close valve,DO17-10,P&ID-047,1-007,N/A,N/A
1290-VC0002_XOF,DI,Pulse,N/A,Material mixing,Valve Basic,Open status,DI17-11,P&ID-047,1-007,N/A,N/A
1290-VC0002_XCF,DI,Dry Contact,N/A,Material mixing,Valve Basic,Closed status,DI17-12,P&ID-047,1-007,N/A,N/A
1290-VC0003_XOC,DO,Solid State,N/A,Material mixing,Valve Basic,Open valve,DO17-13,P&ID-027,1-007,N/A,N/A
1290-VC0003_XCC,DO,Solid State,N/A,Material mixing,Valve Basic,Close valve,DO17-14,P&ID-027,1-007,N/A,N/A
1290-VC0003_XOF,DI,24 VDC,N/A,Material mixing,Valve Basic,Open status,DI17-15,P&ID-027,1-007,N/A,N/A
1290-VC0003_XCF,DI,Dry Contact,N/A,Material mixing,Valve Basic,Closed status,DI17-16,P&ID-027,1-007,N/A,N/A
1290-CB0001_XFWD,DO,Relay,N/A,Product packaging,Conveyor Basic,Forward command,DO18-01,P&ID-026,1-008,N/A,N/A
1290-CB0001_XREV,DO,Solid State,N/A,Product packaging,Conveyor Basic,Reverse command,DO18-02,P&ID-026,1-008,N/A,N/A
1290-CB0001_XSTP,DO,Solid State,N/A,Product packaging,Conveyor Basic,Stop command,DO18-03,P&ID-026,1-008,N/A,N/A
1290-CB0001_XFWF,DI,Dry Contact,N/A,Product packaging,Conveyor Basic,Forward status,DI18-04,P&ID-026,1-008,N/A,N/A
1290-CB0001_XRVF,DI,Dry Contact,N/A,Product packaging,Conveyor Basic,Reverse status,DI18-05,P&ID-026,1-008,N/A,N/A
1290-CB0001_XFTA,DI,24 VDC,N/A,Product packaging,Conveyor Basic,Fault status,DI18-06,P&ID-026,1-008,N/A,N/A
1290-CB0002_XFWD,DO,24 VDC,N/A,Product packaging,Conveyor Full,Forward command,DO18-07,P&ID-049,1-008,N/A,N/A
1290-CB0002_XREV,DO,Relay,N/A,Product packaging,Conveyor Full,Reverse command,DO18-08,P&ID-049,1-008,N/A,N/A
1290-CB0002_XSTP,DO,Relay,N/A,Product packaging,Conveyor Full,Stop command,DO18-09,P&ID-049,1-008,N/A,N/A
1290-CB0002_XFWF,DI,24 VDC,N/A,Product packaging,Conveyor Full,Forward status,DI18-10,P&ID-049,1-008,N/A,N/A
1290-CB0002_XRVF,DI,24 VDC,N/A,Product packaging,Conveyor Full,Reverse status,DI18-11,P&ID-049,1-008,N/A,N/A
1290-CB0002_XRDY,DI,Pulse,N/A,Product packaging,Conveyor Full,Ready status,DI18-12,P&ID-049,1-008,N/A,N/A
1290-CB0002_XFTA,DI,Dry Contact,N/A,Product packaging,Conveyor Full,Fault status,DI18-13,P&ID-049,1-008,N/A,N/A
1290-CB0002_SC,AO,24 VDC,N/A,Product packaging,Conveyor Full,Speed control,AO18-14,P&ID-049,1-008,0,100
1290-CB0002_SI,AI,4-20 mA,N/A,Product packaging,Conveyor Full,Speed feedback,AI18-15,P&ID-049,1-008,0,100
1290-CB0002_XOLA,DI,Dry Contact,N/A,Product packaging,Conveyor Full,Overload alarm,DI18-16,P&ID-049,1-008,N/A,N/A
1290-MX0001_XST,DO,24 VDC,N/A,Material mixing,Mixer Simple,Start mixer,DO19-01,P&ID-041,2-002,N/A,N/A
1290-MX0001_XRN,DI,Pulse,N/A,Material mixing,Mixer Simple,Running status,DI19-02,P&ID-041,2-002,N/A,N/A
1290-MX0001_XOLA,DI,Pulse,N/A,Material mixing,Mixer Simple,Overload alarm,DI19-03,P&ID-041,2-002,N/A,N/A
1290-TT0002_TI,AI,RTD,Celcius,Material mixing,Temperature Device,Temperature reading,AI19-04,P&ID-034,2-002,11,145
1290-LT0001_LI,AI,RTD,Celcius,Material mixing,Level Device,Tank level,AI19-05,P&ID-008,2-002,0,100
1290-LT0002_LI,AI,0-10 V,N/A,Storage tank,Level Device,Tank level,AI19-06,P&ID-010,2-004,0,100
1290-TT0003_TI,AI,4-20 mA,Celcius,Storage tank,Temperature Device,Temperature reading,AI19-07,P&ID-004,2-004,-3,84
1290-LT0003_LI,AI,RTD,Celcius,Storage tank,Level Device,Tank level,AI19-08,P&ID-013,2-006,0,100
1290-FN0001_XST,DO,Solid State,N/A,Air handling,Fan Unit,Start fan,DO19-09,P&ID-022,3-009,N/A,N/A
1290-FN0001_XSP,DO,Relay,N/A,Air handling,Fan Unit,Stop fan,DO19-10,P&ID-022,3-009,N/A,N/A
1290-FN0001_XRN,DI,24 VDC,N/A,Air handling,Fan Unit,Running status,DI19-11,P&ID-022,3-009,N/A,N/A
1290-TT0001_TI,AI,Thermocouple,Celcius,Air handling,Temperature Device,Temperature reading,AI19-12,P&ID-041,3-009,28,149
1290-VC0003_XOC,DO,Relay,N/A,Standalone device,Valve Basic,Open valve,DO19-13,P&ID-042,3-010,N/A,N/A
